soundlog_id,author,language_code,voice_type,creation_date,audio_size,session_type,expected_response,overall_score,phoneme_response,xml_path,audio_path
0222c1ec-0cc3-4748-9ab8-c6a3913a3e9d,81696e5c-84dc-4e3b-b4b2-85b5717fbc67,de-DE,male,2022-09-12T13:21:00Z,61484,ListenForPhrasesGMMSession,Wo wohnst du?,10,,mrh/02//0222c1ec-0cc3-4748-9ab8-c6a3913a3e9d.xml,mrh/02//0222c1ec-0cc3-4748-9ab8-c6a3913a3e9d.wav
04ff859a-e533-4d9a-8a5b-84ec7dff6b39,168a2a90-9810-420a-b6b0-579ebed6473c,de-DE,male,2022-09-14T06:45:15Z,79404,ListenForPhrasesGMMSession,Wie heißt das auf Deutsch?,10,,mrh/04//04ff859a-e533-4d9a-8a5b-84ec7dff6b39.xml,mrh/04//04ff859a-e533-4d9a-8a5b-84ec7dff6b39.wav
053aaca5-55c2-44ab-bfd6-cf086589b650,ed2d940e-4347-49ad-9499-33570519f4eb,de-DE,male,2022-09-15T17:12:43Z,58924,ListenForPhrasesGMMSession,Hat sie ein Fahrrad?,10,,mrh/05//053aaca5-55c2-44ab-bfd6-cf086589b650.xml,mrh/05//053aaca5-55c2-44ab-bfd6-cf086589b650.wav
076334cb-00a0-4753-ac25-9d092eaffa32,0607a6c5-f3e8-4ace-8b13-a48c2038fe62,de-DE,male,2022-09-15T11:47:32Z,67244,ListenForPhrasesGMMSession,Sie spenden Kleidung.,10,,mrh/07//076334cb-00a0-4753-ac25-9d092eaffa32.xml,mrh/07//076334cb-00a0-4753-ac25-9d092eaffa32.wav
07952a73-e95b-4070-9caf-aa0afd6f6e0c,ceed48e7-d4a9-4ff1-a36e-9400009bf22d,de-DE,male,2022-09-11T03:44:03Z,58924,ListenForPhrasesGMMSession,Auf Wiedersehen,10,,mrh/07//07952a73-e95b-4070-9caf-aa0afd6f6e0c.xml,mrh/07//07952a73-e95b-4070-9caf-aa0afd6f6e0c.wav
096edf5d-0204-4241-84bd-ab6d3764ed63,97a95888-dee8-4dbc-b038-dd4a7e8cff85,de-DE,male,2022-09-14T02:55:31Z,35884,ListenForPhrasesGMMSession,ein Fisch,10,,mrh/09//096edf5d-0204-4241-84bd-ab6d3764ed63.xml,mrh/09//096edf5d-0204-4241-84bd-ab6d3764ed63.wav
0b027319-1058-485a-b2d0-2f79a62917b0,c787bd18-6321-4c00-b48e-228ee677029f,de-DE,male,2022-09-15T15:17:51Z,27564,ListenForPhrasesGMMSession,rennt,10,,mrh/0b//0b027319-1058-485a-b2d0-2f79a62917b0.xml,mrh/0b//0b027319-1058-485a-b2d0-2f79a62917b0.wav
10da50cf-58c3-44a1-9a4a-824b3c3b0c16,63a2245d-4943-43f2-9662-102c63f7b30f,de-DE,male,2022-09-13T00:08:06Z,64044,ListenForPhrasesGMMSession,Die Kinder schreiben.,10,,mrh/10//10da50cf-58c3-44a1-9a4a-824b3c3b0c16.xml,mrh/10//10da50cf-58c3-44a1-9a4a-824b3c3b0c16.wav
12300111-81eb-46c8-87d2-4ec1101929a9,28d676c3-037a-4a9f-9494-53a8e2b35b72,de-DE,male,2022-09-14T18:19:00Z,92204,ListenForPhrasesGMMSession,In China spricht man Chinesisch.,10,,mrh/12//12300111-81eb-46c8-87d2-4ec1101929a9.xml,mrh/12//12300111-81eb-46c8-87d2-4ec1101929a9.wav
14b6fe9a-dcec-4e39-93ee-4b3b7a14b276,77e1862d-217f-4b8e-86e4-217787d467e5,de-DE,male,2022-09-13T19:20:06Z,81964,ListenForPhrasesGMMSession,Sie zelten nahe beim See.,10,,mrh/14//14b6fe9a-dcec-4e39-93ee-4b3b7a14b276.xml,mrh/14//14b6fe9a-dcec-4e39-93ee-4b3b7a14b276.wav
